Name,Location,Category,Google Maps URL,Website URL,Notes
"The Outsider","522 Dauphin Street, Mobile, AL 36602","Food & Drink","https://maps.app.goo.gl/oTeXDBuAEnk3jSRQ7","","Sports lounge and food hall area stop."
"Greer's Saint Louis Market","260 Saint Louis Street, Mobile, AL 36602","Food & Drink","https://maps.app.goo.gl/maUTwXoW9X9m9iNb7","https://www.greers.com/","Downtown market and food stop."
"ellenJAY Bakery","2158 Airport Boulevard, Mobile, AL 36606","Food & Drink","https://maps.app.goo.gl/2EKahshQpTQJMXKD7","https://www.ellenjay.com/","Bakery / sweets."
"Bake My Day","2407 Old Shell Road, Mobile, AL 36607","Food & Drink","https://maps.app.goo.gl/1UekxW7Khca8LcYdA","https://www.bakemydaymobile.com/","Bakery and lunch stop."
"Guncles Gluten Free","1252 Government Street, Mobile, AL 36604","Food & Drink","https://maps.app.goo.gl/Q7kKbpVq5w69gELs5","https://www.gunclesgf.com/","Gluten-free bakery."
"Big Bad Breakfast","1812 Old Shell Road Suite D, Mobile, AL 36607","Food & Drink","https://maps.app.goo.gl/cpEqgm1Cf8NiYyK36","https://bigbadbreakfast.com/mobile-al/","Breakfast and brunch."
"Serda's Coffee Co.","3 South Royal Street, Mobile, AL 36602","Food & Drink","https://maps.app.goo.gl/GXKw7zMQcjBBkG5QA","https://serdacoffee.co/","Coffee / cafe."
"Knuckle Bones Elixir Co.","202 Government Street, Mobile, AL 36602","Food & Drink","https://maps.app.goo.gl/xSd9GnuGjUsgtU7G9","https://www.knuckleboneselixir.com/","Coffee and specialty drinks."
"Great Day Latte","10 South Conception Street, Mobile, AL 36602","Food & Drink","https://maps.app.goo.gl/6Qqp7wLjoaLmJ36W9","https://www.greatdaylatte.com/","Coffee and locally baked goods."
"Moe's Original BBQ","701 Spring Hill Avenue, Mobile, AL 36602","Food & Drink","https://maps.app.goo.gl/bXBRKquFQn9jz8v2A","https://www.moesoriginalbbq.com/lo/mobile/","BBQ restaurant along the parade route."
"Cammie's Old Dutch Ice Cream Shoppe","2511 Old Shell Road, Mobile, AL 36607","Food & Drink","https://maps.app.goo.gl/6TwfBQz8u7QkozNg6","https://cammiesolddutch.com/","Ice cream shop."
"LODA Bier Garten","251 Dauphin Street, Mobile, AL 36602","Food & Drink","https://maps.app.goo.gl/CRP6nCZ6jiCKkGCs5","https://lodabeer.com/","Restaurant and beer garden."
"POST","571 Dauphin Street, Mobile, AL 36602","Food & Drink","https://maps.app.goo.gl/2HTCUy75noJwJiw4A","","Craft cocktails and wine bar."
"Braided River Brewing Company","420 Saint Louis Street, Mobile, AL 36602","Food & Drink","https://maps.app.goo.gl/64ThMd5zHykmQSwYA","https://www.braidedriverbrewing.com/","Brewery taproom."
"Joe Cain Cafe","26 North Royal Street, Mobile, AL 36602","Food & Drink","https://maps.app.goo.gl/BJboPY1Ems3895J58?g_st=ic","https://joecaincafe.com/","Restaurant and bar in the Battle House area."
"Bob's Downtown Restaurant","263 Saint Francis Street, Mobile, AL 36602","Food & Drink","https://maps.app.goo.gl/TSbRCjsrnQnrhGV18","https://www.bobsdowntown.com/","Breakfast and lunch diner."
